Airfoil,Efficiency
a63a108c.dat,nan
m23.dat,154.5041
e664ex.dat,111.2260
as6099.dat,89.7820
as6096.dat,70.7130
as6091.dat,69.8408
as6095.dat,69.2708
ah79100b.dat,68.6824
as6092.dat,68.6595
as6093.dat,67.5878
ag14.dat,67.0298
ag19.dat,67.0298
goe523.dat,66.8973
goe525.dat,66.8973
ag13.dat,66.5491
ag18.dat,66.5491
ag27.dat,66.1425
ag12.dat,66.0752
ag17.dat,65.8741
ag455ct02r.dat,65.4098
ag26.dat,65.3440
goe494.dat,65.2783
ag55.dat,65.2128
ag16.dat,65.1473
ag46ct02r.dat,65.1473
ag04.dat,65.0821
ag11.dat,65.0821
ag45c03.dat,65.0821
ag03.dat,65.0169
ag45ct02r.dat,64.9519
ag46c03.dat,64.9519
goe483.dat,64.6931
ag25.dat,64.3726
ag44ct02r.dat,64.3726
as6094.dat,64.1903
ag54.dat,63.9290
goe495.dat,63.6783
ag24.dat,63.3677
ag09.dat,63.3060
ag53.dat,63.1214
ds19.dat,63.1214
ds21.dat,62.9989
goe488.dat,62.9379
ag08.dat,62.9271
goe484.dat,62.7555
ag23.dat,62.6949
ag38.dat,62.6949
ag52.dat,62.6949
ag37.dat,62.5139
e178.dat,62.4538
e176.dat,62.3938
goe499.dat,62.3938
goe517.dat,62.3938
ag36.dat,62.2741
e174.dat,62.2145
ag35.dat,61.7414
nl722343.dat,61.7414
a18sm.dat,61.5075
n9.dat,61.5075
a18.dat,61.4493
goe507.dat,61.4493
ag10.dat,61.1025
ah79100a.dat,61.1025
goe515.dat,61.0450
ag47ct02r.dat,60.8734
ah21-7.dat,60.8164
goe482.dat,60.6635
ag47c03.dat,60.6460
ames02.dat,nan
aquilasm.dat,60.5330
goe491.dat,60.4204
ah6407.dat,60.3082
goe490.dat,60.0850
goe492.dat,59.8084
goe496.dat,59.6984
ah7476.dat,59.3513
arad6.dat,59.0472
ah21-9.dat,58.9936
ah79100c.dat,58.8658
goe529.dat,58.8332
goe500.dat,58.4100
ames01.dat,57.5815
ames03.dat,57.3780
goe532.dat,57.3780
2032c.dat,57.1760
amsoil1.dat,57.0755
apex16.dat,56.2841
goe497.dat,55.9448
apex16_NASA_CR-201062.dat,55.8486
goe533.dat,55.7527
ah63k127.dat,55.5144
goe526.dat,55.3253
goe480.dat,55.2782
