Airfoil,Cm Values (Sorted)
coord_seligFmt\2032c.dat,[0.00314, 0.00326, 0.00344, 0.00345, 0.00364, 0.0039, 0.00419, 0.00521, 0.00524, 0.0053, 0.00539]
coord_seligFmt\a18.dat,[0.00174, 0.00177, 0.00181, 0.00185, 0.00187, 0.0019, 0.00196, 0.00202, 0.00208, 0.00215, 0.00223, 0.00232]
coord_seligFmt\a18sm.dat,[0.00169, 0.00172, 0.00175, 0.00179, 0.00184, 0.00189, 0.00194, 0.002, 0.00207, 0.00214, 0.00221, 0.0023]
coord_seligFmt\a63a108c.dat,[0.00153, 0.00257, 0.00271, 0.00286, 0.00302, 0.00319, 0.00337, 0.00357, 0.00379, 0.004, 0.00423, 0.00451]
coord_seligFmt\ag03.dat,[0.00089, 0.00128, 0.00136, 0.00144, 0.00152, 0.00161, 0.00172, 0.00183, 0.00194, 0.00206, 0.00219, 0.00235]
coord_seligFmt\ag04.dat,[0.00083, 0.00132, 0.00139, 0.00148, 0.00157, 0.00168, 0.00178, 0.0019, 0.00202, 0.00215, 0.00231, 0.00247]
coord_seligFmt\ag08.dat,[0.0008, 0.00128, 0.00135, 0.00144, 0.00153, 0.00164, 0.00175, 0.00187, 0.002, 0.00214, 0.0023]
coord_seligFmt\ag09.dat,[0.00079, 0.00125, 0.00133, 0.00142, 0.00151, 0.00163, 0.00174, 0.00186, 0.002, 0.00216, 0.00239, 0.00264]
coord_seligFmt\ag10.dat,[0.00095, 0.00143, 0.00152, 0.00161, 0.00171, 0.00182, 0.00195, 0.00208, 0.00226, 0.00246, 0.00269, 0.00293]
coord_seligFmt\ag11.dat,[0.00113, 0.00131, 0.00137, 0.00143, 0.0015, 0.00158, 0.00168, 0.00177, 0.00187, 0.00198, 0.00209, 0.00223]
coord_seligFmt\ag12.dat,[0.00078, 0.0012, 0.00129, 0.00137, 0.00145, 0.00154, 0.00164, 0.00177, 0.00189, 0.00202, 0.00215, 0.0023]
coord_seligFmt\ag13.dat,[0.00077, 0.00115, 0.00122, 0.00131, 0.00139, 0.00148, 0.00158, 0.00169, 0.00182, 0.00195, 0.00208, 0.00223]
coord_seligFmt\ag14.dat,[0.00075, 0.00109, 0.00116, 0.00123, 0.00133, 0.00142, 0.00152, 0.00162, 0.00173, 0.00187, 0.00201, 0.00215]
coord_seligFmt\ag16.dat,[0.00088, 0.00129, 0.00137, 0.00144, 0.00153, 0.00161, 0.00171, 0.00183, 0.00194, 0.00206, 0.00218, 0.00232]
coord_seligFmt\ag17.dat,[0.00083, 0.00121, 0.00127, 0.00136, 0.00144, 0.00153, 0.00162, 0.00172, 0.00185, 0.00197, 0.00209, 0.00223]
coord_seligFmt\ag18.dat,[0.0008, 0.00113, 0.0012, 0.00127, 0.00136, 0.00145, 0.00154, 0.00164, 0.00175, 0.00188, 0.00201, 0.00215]
coord_seligFmt\ag19.dat,[0.00078, 0.00109, 0.00115, 0.00122, 0.00129, 0.0014, 0.00149, 0.00159, 0.00169, 0.00181, 0.00195, 0.00209]
