Airfoil,Efficiency
ah88k136.dat,94.5443
ah82150f.dat,91.6106
august160.dat,76.5942
du-80-176-v1.dat,80.3860
clarym18.dat,75.8784
atr72sm.dat,74.3157
b737b.dat,73.9771
ames03.dat,73.8930
arad13.dat,73.3920
c141e.dat,69.7657
e1214.dat,69.4673
c141d.dat,68.0125
dormoy.dat,66.4810
c5c.dat,65.3440
e584.dat,85.4630
e331.dat,79.1132
e343.dat,78.8251
e337.dat,78.1611
e478.dat,76.7753
e479.dat,75.7015
e635.dat,74.1075
e625.dat,73.8090
e472.dat,72.8160
e361.dat,72.0088
e360.dat,71.4542
goe329.dat,259.1425
goe441.dat,94.7061
fx78k161.dat,91.0966
goe421.dat,89.7471
fx75193.dat,85.1270
fauvel.dat,80.9874
fx08s176.dat,80.3860
giiij.dat,70.6767
giiib.dat,66.0273
e858.dat,63.6783
glennmartin2.dat,61.2754
fx63158.dat,55.2782
fx63143.dat,53.5907
e874.dat,48.7168
goe617.dat,79.2096
goe681.dat,77.3237
goe601.dat,74.7433
hq109.dat,70.3704
hq1585.dat,69.9913
goe598.dat,44.3144
goe632.dat,21.7833
ht23.dat,71.2974
ist-mt1-24.dat,69.0938
ls421mod.dat,74.9157
marske3.dat,72.7345
m685.dat,72.3699
ls417mod.dat,68.5147
m8.dat,57.8717
mh91.dat,75.7015
mh23.dat,69.8408
mh33.dat,68.8050
n2h15.dat,88.4903
n5h15.dat,81.2915
tsagi12.dat,81.0885
sp4621hp.dat,73.8090
mh95.dat,69.1714
mh94.dat,66.6173
n63215b.dat,66.3452
n1h15.dat,54.0962
oa212.dat,78.3497
oaf128.dat,74.4008
n64212mb.dat,69.2451
s1046.dat,74.9157
rhodesg36.dat,60.0295
ua2-180.dat,63.3677
ua2-180sm.dat,61.8001
vr11x.dat,69.4673
