Airfoil,Efficiency
ah93k130.dat,110.0880
ah93k132.dat,108.2532
ah79k143.dat,97.3792
ah93156.dat,93.1878
ah93157.dat,91.6106
ah83159.dat,89.4654
ah94156.dat,92.1304
august160.dat,76.5942
ames01.dat,75.7015
drgnfly.dat,87.8916
e1213.dat,77.6937
e1233.dat,75.1758
atr72sm.dat,74.3157
ames03.dat,73.8930
e1214.dat,69.4673
e421.dat,94.6556
e541.dat,93.8611
e642.dat,92.6561
e266.dat,85.4630
e542.dat,84.7936
e636.dat,80.2867
e338.dat,79.8916
e343.dat,78.8251
e478.dat,76.7753
e479.dat,75.7015
e473.dat,74.5716
e625.dat,73.8090
e474.dat,71.2192
goe227.dat,119.2901
goe390.dat,67.3775
goe384.dat,67.0298
fx78k140a20.dat,96.7987
fx74130wp2.dat,96.2250
fx78k161.dat,91.0966
goe421.dat,89.7471
fx84w218.dat,83.9172
fx08s176.dat,80.3860
goe424.dat,79.8916
fx77w153.dat,79.7935
goe434.dat,74.5716
e858.dat,63.6783
glennmartin2.dat,61.2754
goe627.dat,71.2192
goe777.dat,78.2553
hor20.dat,69.7657
goe798.dat,69.6909
goe744.dat,69.0243
ist-mt1-18.dat,133.7244
la2573a.dat,87.7728
ist-mt1-21.dat,85.6293
la5055.dat,73.3920
lnv109a.dat,66.9607
ls421.dat,88.9752
ls421mod.dat,74.9157
marske3.dat,72.7345
marske4.dat,71.6118
marske2.dat,70.9857
ls417mod.dat,68.5147
mh91.dat,75.7015
n63215b.dat,66.3452
nlf0215f.dat,84.1346
oaf117.dat,82.6360
oa212.dat,78.3497
oa213.dat,76.1453
nl722362.dat,74.0615
n64212mb.dat,69.2451
npl9627.dat,65.4098
r1046.dat,87.7728
r1080.dat,86.3722
r1082.dat,85.3507
s1046.dat,74.9157
raf69.dat,71.4542
rc10b3.dat,68.5870
rae5215.dat,65.5418
raf6prop_sm.dat,64.3088
sp4721la.dat,73.3091
sp4721bs.dat,72.9797
sd8020.dat,68.3704
usa45.dat,80.4856
sc2110.dat,74.7433
vr12.dat,74.3157
w1015.dat,71.6908
sc1012r8.dat,70.8309
usa35a.dat,67.0991
usa35.dat,66.7543
vr1.dat,65.2128
sc20712.dat,62.3938
sc20610.dat,62.0362
sc20612.dat,60.9305
sc20614.dat,60.4766
""
