Airfoil,Efficiency
ames03.dat,57.3780
arad13.dat,51.2643
ah88k136.dat,41.5294
ah82150f.dat,41.3180
b737b.dat,57.3780
c141e.dat,56.9254
c141d.dat,55.9448
dormoy.dat,54.9974
c5c.dat,54.2169
atr72sm.dat,53.4584
august160.dat,50.6250
clarym18.dat,48.0058
du-80-176-v1.dat,50.0786
e1214.dat,48.6167
e472.dat,57.3274
e360.dat,57.0755
e361.dat,57.0755
e331.dat,56.8258
e635.dat,55.7527
e478.dat,54.3986
e337.dat,54.3531
e625.dat,53.8573
e479.dat,53.4584
e343.dat,52.5926
e584.dat,48.3273
fx63143.dat,53.5907
fx63158.dat,53.3267
fauvel.dat,53.1957
fx08s176.dat,47.6187
e858.dat,42.7596
fx78k161.dat,36.4080
e874.dat,35.1625
fx75193.dat,32.7874
giiij.dat,57.8894
giiib.dat,53.6321
glennmartin2.dat,48.8360
goe441.dat,64.2760
goe329.dat,47.1593
goe421.dat,37.7408
goe632.dat,51.3454
goe681.dat,48.5078
ht23.dat,59.1547
marske3.dat,55.8486
m685.dat,56.1868
m8.dat,54.6733
hq109.dat,57.8894
hq1585.dat,57.8378
mh33.dat,56.8258
goe617.dat,53.8573
mh91.dat,53.5465
mh23.dat,53.4584
mh94.dat,52.9355
mh95.dat,52.3384
ls417mod.dat,50.7834
goe601.dat,48.9833
ls421mod.dat,46.6944
goe92.dat,46.6416
ist-mt1-24.dat,44.9183
goe598.dat,37.5746
n64212mb.dat,58.1485
oa212.dat,54.8580
n63215b.dat,54.7194
oaf128.dat,54.4442
n5h15.dat,46.2950
n2h15.dat,26.5110
n1h15.dat,24.5009
tsagi12.dat,55.9448
vr11x.dat,55.3253
s1046.dat,52.4652
sp4621hp.dat,47.3066
rhodesg36.dat,47.0325
ua2-180sm.dat,45.2942
ua2-180.dat,44.6712
