Airfoil,Efficiency
ah82150f.dat,140.1653
ah88k136.dat,106.0828
august160.dat,104.9038
clarym18.dat,89.8956
arad13.dat,90.3070
atr72sm.dat,75.6057
c141e.dat,73.4108
c141d.dat,70.4417
b737b.dat,69.4639
c5c.dat,64.7831
ames03.dat,61.7136
du-80-176-v1.dat,122.4220
e1214.dat,68.2068
dormoy.dat,67.9001
e584.dat,134.5086
e343.dat,78.0391
e635.dat,68.8045
e337.dat,65.3344
e361.dat,63.6466
e360.dat,59.4684
e331.dat,58.8911
e625.dat,58.3845
e472.dat,56.7218
e478.dat,52.4179
e479.dat,38.4465
fx08s176.dat,136.1531
fx63158.dat,93.8657
e858.dat,88.9131
fx63143.dat,63.7779
fauvel.dat,56.2860
e874.dat,48.7662
fx75193.dat,134.4426
fx78k161.dat,88.8184
goe329.dat,578.8208
goe441.dat,166.3461
goe421.dat,114.6644
glennmartin2.dat,74.4373
giiij.dat,66.5607
giiib.dat,52.2719
goe632.dat,94.0602
goe681.dat,89.3489
goe617.dat,80.3303
hq1585.dat,68.8660
goe601.dat,60.3579
goe598.dat,42.9758
hq109.dat,67.6716
ist-mt1-24.dat,147.6599
ht23.dat,65.4756
ls421mod.dat,110.6156
ls417mod.dat,100.3055
m8.dat,91.1712
m685.dat,71.8146
marske3.dat,56.7896
mh23.dat,69.0646
mh33.dat,65.9222
mh91.dat,56.6251
n1h15.dat,164.5075
n64212mb.dat,68.3490
n63215b.dat,66.8431
mh94.dat,65.6053
mh95.dat,64.9723
n5h15.dat,63.5764
n2h15.dat,47.6480
oaf128.dat,72.1203
oa212.dat,66.8727
ua2-180.dat,161.5558
ua2-180sm.dat,156.4896
sp4621hp.dat,155.2322
tsagi12.dat,76.5205
rhodesg36.dat,104.6473
vr11x.dat,77.8824
s1046.dat,53.6418
