Airfoil,Efficiency
e71.dat,341.7806
ah79100c.dat,212.3764
ah79100b.dat,208.2179
ah94145.dat,199.8732
drgnfly.dat,165.3500
ah80129.dat,159.9690
du861372.dat,155.2690
ah63k127.dat,154.9251
ah88k130.dat,151.0852
ah81k144.dat,149.9837
ah82150a.dat,145.2409
e1098.dat,145.2040
ah6407.dat,144.1595
ah93w145.dat,143.3940
ec863914.dat,142.4552
ah82150f.dat,140.1653
e854.dat,139.8924
ah80140.dat,138.9490
ah93k131.dat,135.0778
ah93k130.dat,134.3932
ah83159.dat,134.0410
ah79100a.dat,133.3916
ah83150q.dat,132.3534
ah93w174.dat,129.9921
ah79k132.dat,129.3923
ah93k132.dat,124.2717
ah93156.dat,123.7783
a18sm.dat,123.5626
ah94156.dat,122.3782
ah93157.dat,118.2688
2032c.dat,114.3861
ah81131.dat,112.7642
ah79k135.dat,111.9894
ah79k143.dat,106.9189
ah88k136.dat,106.0828
a18.dat,105.5205
ah80136.dat,104.7321
ah93w257.dat,102.5452
ag23.dat,101.2239
ag35.dat,100.8520
ag25.dat,99.9441
ag24.dat,99.6059
ag26.dat,98.1896
ag36.dat,95.7379
ag37.dat,91.7218
ah93w215.dat,90.7124
ag19.dat,88.1434
ag18.dat,87.7207
ah21-7.dat,87.3279
ag17.dat,86.8682
ag44ct02r.dat,86.8580
ag16.dat,86.0446
ag38.dat,86.0198
ag54.dat,85.8885
ag14.dat,85.6347
ag55.dat,85.2526
ag53.dat,85.0600
ag52.dat,84.7007
ag13.dat,84.2427
ag45ct02r.dat,83.5725
ag12.dat,83.3786
ag11.dat,83.3513
ag03.dat,82.7061
ag455ct02r.dat,82.2323
ah93w300.dat,80.2859
ag04.dat,79.7572
ag45c03.dat,79.3312
ag08.dat,78.1901
ah94w301.dat,77.4996
ag46ct02r.dat,77.3894
ag09.dat,75.7745
ah21-9.dat,72.6272
ag10.dat,71.5674
ag46c03.dat,69.7574
ag47ct02r.dat,67.8108
ag47c03.dat,59.3510
ah81k144wfKlappe.dat,49.0352
ag27.dat,34.7635
ah85l120.dat,31.8262
ah93w480b.dat,28.0042
ch10sm.dat,205.2999
dae11.dat,204.5856
as6098.dat,198.9169
as6099.dat,193.2489
dae31.dat,192.6494
ah95160.dat,191.6779
as6096.dat,164.5881
as6095.dat,160.8116
dae51.dat,144.0681
cootie.dat,141.9142
curtisc72.dat,138.0130
cr001sm.dat,133.7843
apex16_NASA_CR-201062.dat,128.4829
aquilasm.dat,128.0784
cal2263m.dat,124.5227
clarkz.dat,124.0038
daytonwrightt1.dat,121.7426
clarkv.dat,120.7623
clarkx.dat,119.1525
arad6.dat,118.6579
clarkw.dat,117.6879
clarkysm.dat,116.6976
clarkk.dat,115.6503
davis.dat,115.3507
clarky.dat,112.0095
as6093.dat,111.8959
as6091.dat,111.7733
as6092.dat,111.7615
clarym15.dat,107.1755
dae21.dat,105.3345
august160.dat,104.9038
davissm.dat,104.6713
cal1215j.dat,104.4227
clarkyh.dat,94.6836
clarym18.dat,89.8956
bw3.dat,88.9160
b29tip.dat,87.5229
boe106.dat,119.3917
apex16.dat,111.1095
boe103.dat,102.7664
arad10.dat,99.9091
arad13.dat,90.3070
arad20.dat,88.9787
as5048.dat,86.9942
davis_corrected.dat,85.8138
as5046.dat,83.7847
as5045.dat,83.2907
cr1.dat,83.0661
bte-fk.dat,79.7049
c141f.dat,77.8481
cal4014l.dat,77.6389
bacxxx.dat,77.1180
b737d.dat,76.8257
avistar.dat,75.6848
atr72sm.dat,75.6057
coanda3.dat,74.0955
c141e.dat,73.4108
b737c.dat,73.2103
cast102.dat,71.6296
amsoil1.dat,71.2397
c141d.dat,70.4417
b737b.dat,69.4639
be50.dat,67.8948
b707e.dat,66.8616
b707d.dat,66.4747
ames01.dat,66.3147
c141c.dat,65.3921
c5c.dat,64.7831
c5d.dat,63.9339
c5e.dat,63.8410
b707c.dat,63.1178
ames03.dat,61.7136
be50sm.dat,60.4709
b737a.dat,59.4420
c5b.dat,58.3947
bacnlf.dat,58.0556
amsoil2.dat,57.2723
c141b.dat,55.8140
c141a.dat,54.1693
cap21c.dat,53.4317
b540ols.dat,52.6130
daytonwright6.dat,51.9512
clarkys.dat,50.5777
bqm34.dat,50.4186
c5a.dat,49.7028
b29root.dat,49.2754
coanda2.dat,47.2656
chen.dat,45.1572
coanda1.dat,45.0233
bambino6.dat,28.0695
e193.dat,135.6658
e195.dat,134.9735
e1200.dat,134.3032
e174.dat,133.7152
e201.dat,133.4285
e197.dat,133.2112
e203.dat,127.8803
e1210.dat,125.9153
e205.dat,123.8232
du-80-176-v1.dat,122.4220
e176.dat,119.5244
du-80-141.dat,116.2477
defcnd1.dat,112.0351
e1211.dat,111.8390
e178.dat,107.0361
e1233.dat,106.1333
defcnd2.dat,104.4534
df101.dat,95.9969
defcnd3.dat,95.9373
ds19.dat,93.5175
du84132v.dat,93.3572
e1212.dat,92.7766
e1230.dat,92.4706
ds21.dat,87.6733
df102.dat,84.8929
e180.dat,84.4988
dfvlrr4.dat,80.0156
dsma523b.dat,76.1338
e1212mod.dat,73.3870
e1213.dat,73.1777
e1214.dat,68.2068
