Airfoil,Efficiency
ah7476.dat,560.3176
goe499.dat,368.9054
e71.dat,279.9933
goe464.dat,260.7866
goe462.dat,121.1745
ah79100b.dat,114.7337
2032c.dat,109.4714
ah6407.dat,107.9156
goe495.dat,101.4822
goe500.dat,99.8593
hs1708.dat,99.8038
goe652.dat,99.0527
goe483.dat,98.8835
goe57.dat,97.4923
goe496.dat,96.4351
goe610bm.dat,96.4072
ah79100c.dat,95.8897
goe450.dat,94.1142
goe501.dat,91.3294
hs1712.dat,91.2567
a18sm.dat,90.3603
hs1606.dat,90.0180
goe497.dat,89.4183
goe529.dat,89.2035
hq358.dat,88.9740
a18.dat,87.3834
a63a108c.dat,nan
goe532.dat,87.3236
hq359.dat,86.8761
ah79100a.dat,86.3702
goe457.dat,86.2545
goe611.dat,86.2225
goe484.dat,86.2204
goe534.dat,85.6131
goe528.dat,85.0752
goe533.dat,84.9896
goe553.dat,84.8636
hq3510.dat,84.6338
goe446.dat,84.1832
goe535.dat,84.1424
ag35.dat,84.1188
goe567.dat,84.0961
goe458.dat,83.8493
goe456.dat,83.8099
goe610b.dat,83.7071
goe517.dat,83.4131
goe602m.dat,82.1167
ag36.dat,81.4660
hq309.dat,81.2757
goe480.dat,80.9624
hq300gd2.dat,80.8875
goe626.dat,79.9735
goe630.dat,79.8946
goe477.dat,79.8852
hq3512.dat,79.8326
goe447.dat,79.5478
goe682.dat,79.3293
hq3010.dat,79.1895
ag37.dat,78.3549
goe482.dat,78.1498
ag27.dat,77.9523
hq308.dat,77.5466
hq2590sm.dat,77.4276
hq259b.dat,77.4276
goe550.dat,77.2713
ag26.dat,77.0928
hq3513.dat,76.8743
goe546.dat,76.7812
hq3011.dat,76.6878
goe602.dat,76.6833
goe498.dat,76.4600
ag25.dat,75.8329
goe525.dat,75.5408
goe685.dat,75.3799
goe654.dat,75.1985
hq3012.dat,74.9385
goe675.dat,74.8011
hq259.dat,74.7648
goe613.dat,74.7266
hq3514.dat,74.4674
goe623.dat,74.2956
goe615.dat,73.9550
ag38.dat,73.6581
goe624.dat,73.5404
ag19.dat,73.4564
ag24.dat,73.4390
hq2510.dat,73.2950
goe479.dat,73.1922
ag23.dat,72.8240
goe490.dat,72.7295
hq3013.dat,72.5019
ag18.dat,72.4891
goe650.dat,72.3651
goe619.dat,72.2045
goe645.dat,71.9280
hq2511.dat,71.7351
ah63k127.dat,71.3808
goe502.dat,71.3708
goe655.dat,71.1699
ag14.dat,71.1416
hq2195.dat,70.9369
ag17.dat,70.8230
goe474.dat,70.7955
ah88k130.dat,70.1762
goe488.dat,69.9648
ag13.dat,69.6370
goe628.dat,69.6329
hq3014.dat,69.6295
hs1404.dat,69.5509
hq2512.dat,69.4361
ag16.dat,69.0864
hq2090sm.dat,68.9889
ah21-7.dat,68.9103
goe670.dat,68.8983
hq209.dat,68.7238
ag12.dat,68.4600
ag11.dat,67.6620
hq2010.dat,67.1632
ag55.dat,67.0531
hq258.dat,66.9625
hq3015.dat,66.6210
goe647.dat,65.8519
goe673.dat,65.8411
goe478.dat,65.8380
goe622.dat,65.5669
ah83150q.dat,65.4417
ag54.dat,65.1873
goe507.dat,65.1354
ah82150a.dat,65.0841
ag03.dat,64.9650
hq208.dat,64.6125
ag44ct02r.dat,64.2432
goe648.dat,64.1691
ag08.dat,64.1596
ag53.dat,64.0615
ag455ct02r.dat,63.8571
ag04.dat,63.6646
ag52.dat,63.5025
hq2012.dat,63.4497
goe509.dat,63.2983
goe448.dat,63.1370
ag45ct02r.dat,63.0832
ah80140.dat,62.5674
ag09.dat,62.5059
ag46ct02r.dat,62.4850
ah79k132.dat,61.9378
goe621.dat,61.8402
goe612.dat,61.6544
hq159.dat,61.4137
goe492.dat,61.4000
ah21-9.dat,61.3737
hq1510.dat,60.8140
goe491.dat,60.0691
hq1511.dat,59.5405
goe604.dat,59.4178
ag10.dat,59.2772
ah79k135.dat,58.6102
hq1512.dat,57.8426
goe600.dat,57.7860
hq158.dat,57.7806
goe476.dat,57.5372
goe625.dat,57.4062
hq1585.dat,57.1050
goe629.dat,56.7731
goe493.dat,56.4432
hq159b.dat,56.3091
hq3518.dat,55.5673
ag47ct02r.dat,55.5498
goe633.dat,55.5480
ah83159.dat,54.2944
hq109.dat,54.1274
hq1010.dat,54.0430
goe599.dat,53.5706
ag45c03.dat,53.4887
goe646.dat,53.4167
goe681.dat,52.3973
goe676.dat,52.3162
hq108.dat,51.7260
hq1012.dat,51.6051
goe481.dat,51.5973
goe510.dat,51.5083
hq17.dat,51.1330
ag46c03.dat,50.9701
goe512.dat,50.7730
goe508.dat,50.4564
hs1620.dat,50.1444
goe614.dat,50.1203
ah80136.dat,49.6936
ah79k143.dat,49.2962
goe627.dat,48.7261
goe503.dat,48.3448
ah80129.dat,47.9722
goe677.dat,47.4359
goe632.dat,47.1814
ag47c03.dat,47.0866
ah81k144.dat,46.8639
goe620.dat,46.6648
ah93156.dat,46.4105
goe505.dat,45.9701
goe617.dat,45.9394
goe504.dat,44.7392
goe481a.dat,43.1912
goe449.dat,42.6923
goe601.dat,42.1124
goe679.dat,42.0043
goe506.dat,41.0640
ah81131.dat,40.4868
goe511.dat,40.0097
ah82150f.dat,39.7167
ah81k144wfKlappe.dat,38.9290
goe598.dat,35.1500
ah88k136.dat,34.8577
goe513.dat,34.3893
goe459.dat,32.4214
ah85l120.dat,29.9696
ames02.dat,nan
as6099.dat,139.7598
as6094.dat,130.9098
as6095.dat,130.0537
as6096.dat,129.0994
as6092.dat,108.3480
as6093.dat,106.9162
as6091.dat,106.9051
arad6.dat,99.2190
ah94145.dat,84.4027
arad10.dat,79.4775
ah93w145.dat,76.8326
aquilasm.dat,76.0716
apex16_NASA_CR-201062.dat,73.9930
ah95160.dat,73.2267
arad13.dat,68.4143
ah93w174.dat,67.1356
apex16.dat,61.9715
august160.dat,61.3547
arad20.dat,60.7929
amsoil1.dat,60.0200
as5045.dat,59.9506
as5046.dat,57.9014
ah93w257.dat,55.1651
atr72sm.dat,53.6603
as5048.dat,51.6967
ah94156.dat,50.0330
ah93157.dat,49.0023
amsoil2.dat,48.6370
ames03.dat,47.6516
ah93k132.dat,47.6159
ah93k131.dat,47.0417
ames01.dat,46.5815
ah93k130.dat,45.9996
ah93w300.dat,42.2365
ah94w301.dat,40.5159
b707a.dat,nan
b707b.dat,nan
davissm.dat,99.5783
cootie.dat,98.4741
curtisc72.dat,98.3938
be50sm.dat,93.2384
be50.dat,91.1112
cr001sm.dat,90.8455
dae31.dat,89.3872
dae21.dat,89.1420
dae51.dat,86.9883
bw3.dat,85.2237
daytonwrightt1.dat,83.1674
dae11.dat,82.9718
e174.dat,81.7989
e1210.dat,79.7196
du-80-141.dat,79.5510
clarkz.dat,76.5159
du84132v.dat,74.7661
e1211.dat,74.1924
dsma523b.dat,73.9451
ch10sm.dat,73.0027
boe103.dat,72.8675
dfvlrr4.dat,72.0830
clarky.dat,72.0565
clarkv.dat,71.8717
clarkw.dat,71.1041
davis.dat,70.8546
clarkk.dat,70.7708
clarkx.dat,70.5682
ds19.dat,69.7137
cal2263m.dat,67.6177
ds21.dat,66.3528
clarkysm.dat,66.2645
c141f.dat,65.3489
boe106.dat,65.1498
clarym15.dat,65.1469
daytonwright6.dat,64.6799
e1233.dat,63.9187
clarkyh.dat,63.3993
cr1.dat,63.2149
du-80-176-v1.dat,62.6969
e1212.dat,62.5491
defcnd3.dat,62.5316
dga1138.dat,62.0848
e1230.dat,61.6866
df102.dat,61.3242
df101.dat,61.0462
cast102.dat,59.7355
e1200.dat,59.3840
bte-fk.dat,58.5684
chen.dat,58.3586
c141e.dat,58.1940
cal1215j.dat,58.0533
defcnd2.dat,57.9459
bacxxx.dat,55.6627
e1098.dat,55.3997
dormoy.dat,55.1708
c141d.dat,54.7356
c5e.dat,54.6799
clarym18.dat,54.4238
b737d.dat,54.3984
b737c.dat,53.3775
c5d.dat,52.7626
b707d.dat,52.6475
c5c.dat,52.3690
e1212mod.dat,52.3554
b737b.dat,52.2915
c141c.dat,52.0317
coanda3.dat,51.8028
doa5.dat,51.0724
b707c.dat,50.5178
b707e.dat,50.4000
c5b.dat,50.2201
du8608418.dat,50.1237
b737a.dat,50.1023
e1213.dat,49.6828
b29tip.dat,49.4265
