airfoil,efficiency_alfa,efficiency_CL,efficiency_difference
drgnfly.dat,165.35,87.8916,77.4584
ah93k130.dat,134.3932,110.088,24.305200000000013
ah83159.dat,134.041,89.4654,44.575599999999994
ah93k132.dat,124.2717,108.2532,16.01849999999999
ah93156.dat,123.7783,93.1878,30.590500000000006
ah94156.dat,122.3782,92.1304,30.247800000000012
ah93157.dat,118.2688,91.6106,26.658199999999994
ah79k143.dat,106.9189,97.3792,9.539699999999996
august160.dat,104.9038,76.5942,28.309600000000003
atr72sm.dat,75.6057,74.3157,1.289999999999992
ames01.dat,66.3147,75.7015,-9.386799999999994
ames03.dat,61.7136,73.893,-12.179400000000001
e1233.dat,106.1333,75.1758,30.95750000000001
e1213.dat,73.1777,77.6937,-4.516000000000005
e1214.dat,68.2068,69.4673,-1.2604999999999933
e421.dat,151.892,94.6556,57.23639999999999
e642.dat,113.8954,92.6561,21.2393
e266.dat,107.3055,85.463,21.8425
e541.dat,100.7896,93.8611,6.9285
e542.dat,86.1577,84.7936,1.3641000000000076
e636.dat,79.7734,80.2867,-0.513300000000001
e338.dat,78.063,79.8916,-1.8285999999999945
e343.dat,78.0391,78.8251,-0.7860000000000014
e625.dat,58.3845,73.809,-15.424499999999995
e478.dat,52.4179,76.7753,-24.3574
e474.dat,46.963,71.2192,-24.2562
e473.dat,46.0509,74.5716,-28.520700000000005
e479.dat,38.4465,75.7015,-37.254999999999995
fx08s176.dat,136.1531,80.386,55.7671
e858.dat,88.9131,63.6783,25.2348
fx74130wp2.dat,172.2176,96.225,75.99260000000001
fx78k140a20.dat,137.0221,96.7987,40.2234
fx77w153.dat,106.3941,79.7935,26.6006
fx78k161.dat,88.8184,91.0966,-2.2781999999999982
goe227.dat,181.5195,119.2901,62.2294
goe390.dat,121.2248,67.3775,53.847300000000004
goe384.dat,120.6514,67.0298,53.6216
goe434.dat,125.9667,74.5716,51.3951
goe424.dat,117.7115,79.8916,37.819900000000004
goe421.dat,114.6644,89.7471,24.917299999999997
fx84w218.dat,98.5792,83.9172,14.662000000000006
glennmartin2.dat,74.4373,61.2754,13.161899999999996
goe627.dat,90.868,71.2192,19.648799999999994
goe798.dat,123.4237,69.6909,53.7328
goe777.dat,114.9819,78.2553,36.72659999999999
hor20.dat,96.3772,69.7657,26.611500000000007
goe744.dat,79.6651,69.0243,10.640799999999999
ist-mt1-18.dat,206.5709,133.7244,72.84649999999999
ist-mt1-21.dat,161.5053,85.6293,75.876
la5055.dat,142.0685,73.392,68.6765
lnv109a.dat,84.7619,66.9607,17.801199999999994
la2573a.dat,66.7148,87.7728,-21.058000000000007
ls421mod.dat,110.6156,74.9157,35.6999
ls421.dat,109.2053,88.9752,20.230099999999993
ls417mod.dat,100.3055,68.5147,31.79079999999999
marske4.dat,58.9839,71.6118,-12.627900000000004
marske3.dat,56.7896,72.7345,-15.944899999999997
marske2.dat,55.1565,70.9857,-15.829199999999993
mh91.dat,56.6251,75.7015,-19.076399999999992
nlf0215f.dat,156.9833,84.1346,72.84870000000001
n64212mb.dat,68.349,69.2451,-0.8960999999999899
n63215b.dat,66.8431,66.3452,0.49790000000000134
oaf117.dat,90.8842,82.636,8.248200000000011
oa213.dat,77.5561,76.1453,1.4107999999999947
nl722362.dat,76.804,74.0615,2.742500000000007
oa212.dat,66.8727,78.3497,-11.477000000000004
npl9627.dat,56.7755,65.4098,-8.634300000000003
r1046.dat,160.0763,87.7728,72.3035
usa35a.dat,139.3346,67.0991,72.23549999999999
usa35.dat,139.2898,66.7543,72.53550000000001
sp4721bs.dat,131.1693,72.9797,58.1896
sp4721la.dat,130.616,73.3091,57.30690000000001
sd8020.dat,54.5029,68.3704,-13.867500000000007
r1080.dat,114.7539,86.3722,28.381699999999995
r1082.dat,112.5552,85.3507,27.204499999999996
raf6prop_sm.dat,112.2153,64.3088,47.906499999999994
usa45.dat,110.7154,80.4856,30.229799999999997
sc20712.dat,84.5628,62.3938,22.168999999999997
sc20612.dat,80.3478,60.9305,19.417300000000004
sc20614.dat,80.1319,60.4766,19.655300000000004
vr12.dat,78.5753,74.3157,4.259599999999992
sc20610.dat,77.1116,62.0362,15.075399999999995
sc1012r8.dat,75.5851,70.8309,4.754199999999997
rae5215.dat,69.6186,65.5418,4.076800000000006
sc2110.dat,68.7602,74.7433,-5.983100000000007
rc10b3.dat,66.897,68.587,-1.6899999999999977
vr1.dat,62.8793,65.2128,-2.333500000000001
raf69.dat,60.3041,71.4542,-11.150100000000002
s1046.dat,53.6418,74.9157,-21.273899999999998
w1015.dat,52.9186,71.6908,-18.772199999999998
