airfoil,efficiency_alfa,efficiency_CL,efficiency_difference
ah79k135.dat,111.9894,111.0289,0.9605000000000103
ah21-7.dat,87.3279,88.4648,-1.1368999999999971
ag44ct02r.dat,86.858,87.0669,-0.20889999999999986
ag16.dat,86.0446,84.9045,1.1401000000000039
ag54.dat,85.8885,85.5756,0.31289999999999907
ag55.dat,85.2526,84.5728,0.6798000000000002
ag53.dat,85.06,84.5728,0.4872000000000014
ag52.dat,84.7007,84.1346,0.5660999999999916
ag13.dat,84.2427,83.0587,1.1839999999999975
ag45ct02r.dat,83.5725,84.6831,-1.110599999999991
ag12.dat,83.3786,82.4263,0.9523000000000081
ag11.dat,83.3513,82.1137,1.2376000000000005
ag03.dat,82.7061,82.8468,-0.14069999999999538
ag455ct02r.dat,82.2323,83.3786,-1.1463000000000108
ag04.dat,79.7572,80.5855,-0.8282999999999987
ag08.dat,78.1901,78.4443,-0.2541999999999973
ag09.dat,75.7745,76.2346,-0.46009999999999707
ah21-9.dat,72.6272,72.5982,0.028999999999996362
as5048.dat,86.9942,86.1431,0.8511000000000024
davis_corrected.dat,85.8138,87.3009,-1.487099999999998
cr1.dat,83.0661,82.636,0.43010000000001014
bacxxx.dat,77.118,77.5082,-0.3902000000000072
atr72sm.dat,75.6057,74.3157,1.289999999999992
b707e.dat,66.8616,65.941,0.9205999999999932
b707d.dat,66.4747,66.0752,0.3995000000000033
c141c.dat,65.3921,66.8918,-1.4997000000000043
c5c.dat,64.7831,65.344,-0.5608999999999895
c5d.dat,63.9339,65.2128,-1.2789000000000001
c5e.dat,63.841,65.2783,-1.4373000000000005
coanda2.dat,47.2656,47.0772,0.18840000000000146
coanda1.dat,45.0233,46.4463,-1.4230000000000018
ds19.dat,93.5175,92.2612,1.256299999999996
ds21.dat,87.6733,87.1838,0.4894999999999925
e180.dat,84.4988,84.8099,-0.31109999999999616
e1214.dat,68.2068,69.4673,-1.2604999999999933
dormoy.dat,67.9001,66.481,1.4191000000000003
doa5.dat,63.3549,64.844,-1.4890999999999934
dh4009sm.dat,36.8044,38.0019,-1.197499999999998
e59.dat,145.6076,145.6076,0.0
e62.dat,125.3274,125.3274,0.0
e224.dat,90.1918,89.5888,0.6029999999999944
e221.dat,87.2425,88.2499,-1.0073999999999899
e231.dat,87.1461,87.3147,-0.16859999999999786
e542.dat,86.1577,84.7936,1.3641000000000076
e636.dat,79.7734,80.2867,-0.513300000000001
e343.dat,78.0391,78.8251,-0.7860000000000014
e226.dat,69.8812,70.2876,-0.40639999999999077
e852.dat,116.3314,116.193,0.1384000000000043
e851.dat,96.6712,97.2297,-0.5584999999999951
fx69h098.dat,85.7551,84.7936,0.9615000000000009
fx69h083.dat,81.5255,82.5252,-0.9997000000000043
eh1090.dat,68.6505,69.7571,-1.1066000000000003
fx66h60.dat,65.9224,67.0646,-1.1422000000000025
e837.dat,62.0002,62.9753,-0.9750999999999976
eh1070.dat,54.6161,54.8145,-0.19839999999999947
e874.dat,48.7662,48.7168,0.049399999999998556
goe14k.dat,89.4216,88.0107,1.410899999999998
goe303.dat,82.9526,82.1137,0.8389000000000095
goe401.dat,78.6101,77.14,1.4701000000000022
goe182.dat,73.1242,72.491,0.6332000000000022
goe325.dat,69.7767,70.0553,-0.2785999999999973
goe376.dat,42.2106,43.6392,-1.428600000000003
goe06k.dat,141.2162,141.8164,-0.600200000000001
goe419.dat,113.9355,113.7208,0.21470000000000766
goe100.dat,77.7578,77.7475,0.010300000000000864
goe416a.dat,71.811,71.2192,0.5918000000000063
goe114.dat,55.2417,55.7655,-0.5238000000000014
goe257.dat,26.6972,26.6972,0.0
goe546.dat,110.7572,110.088,0.6692000000000036
goe590.dat,108.5991,108.2532,0.3459000000000003
hq258.dat,99.7823,101.2512,-1.4688999999999908
goe507.dat,92.1825,93.5326,-1.3500999999999976
goe488.dat,90.1722,89.3424,0.8298000000000059
hq2090sm.dat,89.0903,88.0107,1.0795999999999992
hq2195.dat,88.6349,88.7321,-0.09720000000000084
hq1510.dat,81.2265,81.1899,0.03660000000000707
hq208.dat,81.0426,80.781,0.2615999999999872
goe617.dat,80.3303,79.2096,1.1206999999999994
hq1511.dat,79.2932,80.0887,-0.7955000000000041
goe622.dat,78.5659,78.5064,0.059499999999999886
hq1512.dat,78.3724,78.9209,-0.5485000000000042
goe548.dat,76.1287,77.293,-1.1643000000000114
hq159.dat,75.8211,76.306,-0.4848999999999961
hq158.dat,70.6372,70.913,-0.2757999999999896
hq159b.dat,70.1231,69.9662,0.15689999999999316
hq1585.dat,68.866,69.9913,-1.1252999999999957
goe55.dat,65.818,65.6743,0.1436999999999955
goe599.dat,64.1131,64.3726,-0.25950000000000273
goe518.dat,47.707,46.4811,1.2259000000000029
goe598.dat,42.9758,44.3144,-1.3385999999999996
goe801.dat,193.5204,193.5204,0.0
goe802.dat,193.5204,193.5204,0.0
goe795sm.dat,97.7941,98.4554,-0.6612999999999971
hq1010.dat,72.2836,73.392,-1.108399999999989
hq108.dat,63.607,64.2173,-0.6102999999999952
hor04.dat,62.1365,61.6242,0.5122999999999962
ls413.dat,97.9115,98.1423,-0.23080000000000211
lds2.dat,87.4529,86.5162,0.9367000000000019
l188root.dat,86.8964,87.674,-0.7776000000000067
kc135d.dat,85.8251,86.7086,-0.883499999999998
k3.dat,77.6322,77.9831,-0.35089999999999577
kc135c.dat,77.0034,77.9735,-0.9701000000000022
jx-gs-15.dat,76.8659,77.0681,-0.20220000000000482
jx-gs-10.dat,75.6345,76.9572,-1.3226999999999975
ma409sm.dat,115.9006,117.3671,-1.4664999999999964
mb253515sm.dat,95.5195,94.5443,0.9751999999999867
ma409.dat,93.6464,93.5192,0.12720000000000198
m12.dat,86.4467,86.4872,-0.04049999999999443
m11.dat,81.7871,81.6744,0.11269999999998959
m685.dat,71.8146,72.3699,-0.5553000000000026
m5.dat,71.4937,71.689,-0.19529999999998893
m23.dat,11.5861,11.5861,0.0
mh200.dat,101.9912,102.772,-0.7807999999999993
mh121.dat,115.6361,116.2619,-0.6257999999999981
mh117.dat,105.9617,105.7849,0.17680000000000007
mh32.dat,97.8637,96.511,1.3526999999999987
mh42.dat,88.0439,87.9366,0.10729999999999507
mh43.dat,81.277,81.6744,-0.39740000000000464
mh30.dat,77.8519,78.6124,-0.7604999999999933
mh23.dat,69.0646,69.8408,-0.7762000000000029
mh22.dat,65.0096,65.7889,-0.7792999999999921
n63215.dat,87.0321,87.0669,-0.03480000000000416
n63212.dat,72.1972,72.7321,-0.5349000000000075
n64212mb.dat,68.349,69.2451,-0.8960999999999899
n63215b.dat,66.8431,66.3452,0.49790000000000134
mh94.dat,65.6053,66.6173,-1.0120000000000005
n63210.dat,55.4904,55.8656,-0.37519999999999953
p51droot.dat,80.7672,79.9631,0.8041000000000054
oa213.dat,77.5561,76.1453,1.4107999999999947
nlr1t.dat,72.639,73.392,-0.7530000000000001
pfcm.dat,59.4107,60.4204,-1.0097000000000023
th25816.dat,61.7938,61.3332,0.46059999999999945
tsagi8.dat,58.68,59.4593,-0.7792999999999992
s4053.dat,114.0748,114.5536,-0.4788000000000068
sa7024.dat,107.6107,108.6152,-1.0045000000000073
sd2083.dat,106.5817,107.4609,-0.8791999999999973
s7012.dat,94.0147,94.9589,-0.944199999999995
s3016.dat,89.2845,88.2499,1.0345999999999975
rg15.dat,88.544,88.8535,-0.3094999999999999
sd2030.dat,88.1554,87.0595,1.0959000000000003
sd6060.dat,87.3733,87.6544,-0.281099999999995
rg12a189.dat,83.7837,82.8468,0.9368999999999943
rg12a.dat,83.7515,82.9526,0.7988999999999891
sd8000.dat,83.2386,82.531,0.7075999999999993
s8055.dat,83.1884,83.2717,-0.08329999999999416
sd7003.dat,82.3063,83.5932,-1.2869000000000028
rg14.dat,81.2516,81.5979,-0.3462999999999994
s102s.dat,80.2795,80.841,-0.5614999999999952
s2055.dat,78.8481,78.7296,0.11849999999999739
rg149.dat,78.719,78.9209,-0.20190000000000907
