Airfoil,Efficiency
a63a108c.dat,nan
goe381.dat,857.3823
goe574.dat,641.6960
fxm2.dat,223.9721
e71.dat,148.2920
ah79100b.dat,142.8539
ec863914.dat,140.5993
goe652.dat,137.3154
ah79100c.dat,134.7402
fx63137sm.dat,132.4942
hq358.dat,128.8728
goe456.dat,123.0150
goe458.dat,123.0150
fx63137.dat,122.7382
e817.dat,120.8053
ah80129.dat,116.8200
fx63120.dat,116.1092
ah63k127.dat,113.7511
fx63100.dat,112.9598
ah88k130.dat,111.7933
ah79k132.dat,111.6012
ah79k135.dat,111.0289
ah93k130.dat,110.0880
ah80136.dat,108.4339
ah81131.dat,108.2532
ah93k132.dat,108.2532
fx63110.dat,108.2532
ah93k131.dat,107.7146
e853.dat,106.4785
ah81k144.dat,105.7849
fx67k150.dat,104.7611
ah79100a.dat,104.4243
e818.dat,103.1536
e908.dat,102.5956
fx05h126.dat,101.6462
fx60100sm.dat,101.3290
ah80140.dat,101.0138
ah82150a.dat,100.2344
fx67k170.dat,98.1147
ah79k143.dat,97.3792
fx05191.dat,97.2334
ag23.dat,96.6546
fx601001.dat,96.5110
fx60160.dat,96.2250
ah93w145.dat,95.9408
fx60100.dat,95.6582
e854.dat,95.5175
ag24.dat,95.3772
ah6407.dat,95.3772
ag25.dat,95.2374
ah88k136.dat,94.5443
fx05188.dat,93.8611
ag35.dat,93.5906
ag26.dat,93.4560
ah93156.dat,93.1878
fx66h80.dat,92.9692
ah83150q.dat,92.1304
ag36.dat,91.9999
a18.dat,91.6643
ah82150f.dat,91.6106
ah93157.dat,91.6106
fx61184.dat,91.3529
ag27.dat,91.0966
eh2010.dat,90.9691
fx60126.dat,90.9691
fx60177.dat,89.8367
ah83159.dat,89.4654
fx601261.dat,88.8535
ah21-7.dat,88.4648
ag37.dat,88.3699
fx61140.dat,87.7728
fx61168.dat,87.5363
ag44ct02r.dat,87.0669
ag45c03.dat,87.0669
fx61147.dat,87.0669
e855.dat,86.6025
ag54.dat,85.5756
ag18.dat,85.2387
ag19.dat,85.2387
ag17.dat,85.0156
ag16.dat,84.9045
ag45ct02r.dat,84.6831
ag53.dat,84.5728
ag55.dat,84.5728
ag52.dat,84.1346
a18sm.dat,83.8913
ag14.dat,83.8089
ag455ct02r.dat,83.3786
ag13.dat,83.0587
ag03.dat,82.8468
ag12.dat,82.4263
ag11.dat,82.1137
ag38.dat,81.2915
ag04.dat,80.5855
ag46ct02r.dat,79.6956
ag46c03.dat,79.3064
ag08.dat,78.4443
ag09.dat,76.2346
ag10.dat,73.2265
ag47ct02r.dat,73.0618
ag47c03.dat,72.7345
ah21-9.dat,72.5982
2032c.dat,72.2491
ah81k144wfKlappe.dat,55.6095
ah85l120.dat,38.5612
ames02.dat,nan
as6099.dat,162.5174
as6098.dat,151.6125
as6095.dat,120.6840
as6096.dat,117.0445
apex16_NASA_CR-201062.dat,111.2190
apex16.dat,106.8288
as6091.dat,104.4243
as6092.dat,101.6462
ah94145.dat,100.3893
ah95160.dat,96.7987
arad6.dat,95.9408
as6093.dat,93.6745
b29tip.dat,92.5216
ah94156.dat,92.1304
ah93w174.dat,89.5888
as5048.dat,86.1431
ah93w215.dat,85.1270
as5045.dat,81.3934
arad10.dat,79.4033
avistar.dat,79.2242
as5046.dat,79.1132
august160.dat,76.5942
ames01.dat,75.7015
b29root.dat,75.7015
b707a.dat,nan
b707b.dat,nan
ch10sm.dat,162.3637
dae51.dat,124.6678
cr001sm.dat,124.4289
e174.dat,119.3969
e176.dat,117.6665
clarkv.dat,114.9591
e178.dat,112.3735
cal2263m.dat,107.7146
clarkx.dat,107.7146
curtisc72.dat,107.7146
davis.dat,105.4414
clarkysm.dat,103.5916
clarkz.dat,101.8672
clarky.dat,101.6462
e1200.dat,100.5447
boe106.dat,99.3148
clarkw.dat,98.4120
cal1215j.dat,97.3792
dae11.dat,97.2334
be50.dat,97.1224
daytonwrightt1.dat,92.7884
